Login Date,IP Address,User Agent,Login Type
Tue Dec 24 15:25:01 UTC 2024,2a04:4e41:3:76:0:0:20fd:a969,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1",Login
Tue Dec 24 20:54:58 UTC 2024,2a09:bac3:c9db:119:0:0:1c:2a2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15",Login
Sat Dec 28 20:56:05 UTC 2024,2a09:bac2:a42f:154b:0:0:21f:ae,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15",Login
Mon Dec 30 18:11:44 UTC 2024,2a02:26f7:c35d:81d0:0:c000:0:8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15",Login
Tue Dec 31 19:08:32 UTC 2024,2a02:26f7:c34d:81d0:0:b000:0:8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15",Login
Tue Dec 31 20:00:19 UTC 2024,98.247.28.9,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.30.5750.15",Login
Tue Dec 31 20:01:34 UTC 2024,98.247.28.9,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.30.5750.15 iPad:18.3,Login
Tue Dec 31 20:01:34 UTC 2024,98.247.28.9,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.30.5750.15 iPad:18.3,Login
Tue Dec 31 20:14:06 UTC 2024,2a02:26f7:c34c:81d0:0:8000:0:7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15",Login
Thu Jan 02 17:40:54 UTC 2025,2a09:bac2:c9d8:1541:0:0:21e:110,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15",Login
Wed Jan 08 17:56:36 UTC 2025,2a09:bac3:c9dd:1d37:0:0:2e9:8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15",Login
Wed Jan 08 20:14:09 UTC 2025,2607:fb91:15ab:123:1438:3318:8e5:6a87,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",Login
Wed Jan 08 20:58:51 UTC 2025,2607:fb91:15a1:1b3f:85d8:2a1e:c135:ee34,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko)",Login
Thu Jan 09 23:08:47 UTC 2025,2a09:bac3:c9db:119:0:0:1c:2ab,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15",Login
Mon Jan 13 16:25:44 UTC 2025,2a09:bac3:c9db:119:0:0:1c:2a2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15",Login
Mon Jan 13 16:59:28 UTC 2025,2a04:4e41:3:1036:0:0:9e64:de36,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15",Login
Mon Jan 13 17:47:26 UTC 2025,2a04:4e41:3:76:0:0:1dde:9c0d,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Safari/605.1.15",Login
Wed Jan 15 18:06:06 UTC 2025,2a09:bac3:c9dd:1caa:0:0:2db:f1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15",Login
Wed Jan 15 20:53:41 UTC 2025,206.188.43.156,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Login
Wed Jan 15 23:41:38 UTC 2025,2a02:26f7:c35d:81d0:0:5000:0:1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Safari/605.1.15",Login
Thu Jan 16 16:01:01 UTC 2025,2a04:4e41:3:76:0:0:b3f2:5f21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Safari/605.1.15",Login
Thu Jan 16 16:39:34 UTC 2025,2a09:bac3:c9de:119:0:0:1c:200,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Safari/605.1.15",Login
Thu Jan 16 17:45:15 UTC 2025,2a09:bac2:c9d8:119:0:0:1c:2bd,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Safari/605.1.15",Login
Mon Jan 20 22:25:12 UTC 2025,2a09:bac3:c9d8:1d37:0:0:2e9:7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Safari/605.1.15",Login
Tue Jan 21 21:29:34 UTC 2025,206.188.43.51,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.2 Safari/605.1.15",Login
Tue Jan 28 00:11:16 UTC 2025,2a09:bac2:c9df:1537:0:0:21d:1e,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15",Login
Fri Jan 31 23:18:35 UTC 2025,2601:603:f7f:ad8a:0:0:0:6f,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15",Login
Mon Feb 03 18:26:56 UTC 2025,2601:603:f7f:ad8a:2474:31c:c461:aa1d,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15",Login
Mon Feb 03 22:02:42 UTC 2025,24.16.152.147,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15",Login
Fri Feb 07 22:41:02 UTC 2025,2601:603:f7f:ad8a:681d:fad8:f039:bd1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Login
Sun Feb 09 15:42:02 UTC 2025,2601:603:f7f:ad8a:fd19:fd92:df2f:c925,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15",Login
Sun Feb 09 15:44:07 UTC 2025,2601:603:f7f:ad8a:fd19:fd92:df2f:c925,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Login
